2025-10-14 12:12:46 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:48 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:50 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:52 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:54 | INFO | lift | Moving up from floor 9
2025-10-14 12:12:56 | INFO | lift | Moving down from floor 10
2025-10-14 12:12:58 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:00 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:02 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:04 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:06 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:08 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:10 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:12 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:14 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:16 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:18 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:20 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:22 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:24 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:26 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:28 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:30 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:32 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:34 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:36 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:38 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:40 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:42 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:44 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:46 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:48 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:50 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:52 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:54 | INFO | lift | Moving up from floor 9
2025-10-14 12:13:56 | INFO | lift | Moving down from floor 10
2025-10-14 12:13:58 | INFO | lift | Moving up from floor 9
2025-10-14 12:14:00 | INFO | lift | Moving down from floor 10
2025-10-14 12:14:02 | INFO | lift | Moving up from floor 9
2025-10-14 12:14:04 | INFO | lift | Moving down from floor 10
2025-10-14 12:14:06 | INFO | lift | Moving up from floor 9
2025-10-14 12:14:08 | INFO | lift | Moving down from floor 10
2025-10-14 12:14:10 | INFO | lift | Moving up from floor 9
2025-10-14 12:14:12 | INFO | lift | Moving down from floor 10
