2025-10-16 14:33:33 | INFO | lift | State: IDLE  current floor: 10
2025-10-16 14:33:33 | INFO | lift | FSM:current state MOVING-DOWN
2025-10-16 14:33:33 | INFO | lift | Moving down from floor 10
2025-10-16 14:33:35 | INFO | lift | Moving down from floor 9
2025-10-16 14:33:37 | INFO | lift | Moving down from floor 8
2025-10-16 14:33:39 | INFO | lift | Reached at floor ==================>7
2025-10-16 14:33:39 | INFO | lift | FSM:current state WAITING
2025-10-16 14:33:39 | INFO | lift | Waiting at floor 7
2025-10-16 14:33:41 | INFO | lift | FSM:current state IDLE
2025-10-16 14:33:41 | INFO | lift | State: IDLE  current floor: 7
2025-10-16 14:33:41 | INFO | lift | State: IDLE (sleep)  Current floor: 7
2025-10-16 14:34:59 | INFO | lift | Lift wake up from the sleep current floor is 7
2025-10-16 14:34:59 | INFO | lift | State: IDLE  current floor: 7
2025-10-16 14:34:59 | INFO | lift | FSM:current state MOVING-DOWN
2025-10-16 14:34:59 | INFO | lift | Moving down from floor 7
2025-10-16 14:35:01 | INFO | lift | Moving down from floor 6
2025-10-16 14:35:03 | INFO | lift | Moving down from floor 5
2025-10-16 14:35:05 | INFO | lift | Reached at floor ==================>4
2025-10-16 14:35:05 | INFO | lift | FSM:current state WAITING
2025-10-16 14:35:05 | INFO | lift | Waiting at floor 4
2025-10-16 14:35:07 | INFO | lift | FSM:current state IDLE
2025-10-16 14:35:07 | INFO | lift | State: IDLE  current floor: 4
2025-10-16 14:35:07 | INFO | lift | State: IDLE (sleep)  Current floor: 4
2025-10-16 14:35:15 | INFO | lift | Lift wake up from the sleep current floor is 4
2025-10-16 14:35:15 | INFO | lift | State: IDLE  current floor: 4
2025-10-16 14:35:15 | INFO | lift | FSM:current state MOVING-DOWN
2025-10-16 14:35:15 | INFO | lift | Moving down from floor 4
2025-10-16 14:35:17 | INFO | lift | Moving down from floor 3
2025-10-16 14:35:19 | INFO | lift | Reached at floor ==================>2
2025-10-16 14:35:19 | INFO | lift | FSM:current state WAITING
2025-10-16 14:35:19 | INFO | lift | Waiting at floor 2
2025-10-16 14:35:21 | INFO | lift | FSM:current state IDLE
2025-10-16 14:35:21 | INFO | lift | State: IDLE  current floor: 2
2025-10-16 14:35:21 | INFO | lift | State: IDLE (sleep)  Current floor: 2
